block,trial,type,onsetDateTime,onsetPOSIX,duration_s,f_assr,beatFreq,note
ASSR_BASELINE,1,ASSR,16-Nov-2025 11:22:57,1763310177.50145,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,2,ASSR,16-Nov-2025 11:23:00,1763310180.68988,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,3,ASSR,16-Nov-2025 11:23:03,1763310183.72497,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,4,ASSR,16-Nov-2025 11:23:06,1763310186.7553,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,5,ASSR,16-Nov-2025 11:23:09,1763310189.78466,20,40,0,ASSR same modulation both ears
BINAURAL_ASSR,1,ASSR_BINAURAL,16-Nov-2025 11:23:12,1763310192.82287,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,2,ASSR_BINAURAL,16-Nov-2025 11:23:15,1763310195.86854,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,3,ASSR_BINAURAL,16-Nov-2025 11:23:18,1763310198.9097,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,4,ASSR_BINAURAL,16-Nov-2025 11:23:21,1763310201.94544,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,5,ASSR_BINAURAL,16-Nov-2025 11:23:24,1763310204.98105,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,6,ASSR_BINAURAL,16-Nov-2025 11:23:28,1763310208.01736,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,7,ASSR_BINAURAL,16-Nov-2025 11:23:31,1763310211.05334,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,8,ASSR_BINAURAL,16-Nov-2025 11:23:34,1763310214.08823,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,9,ASSR_BINAURAL,16-Nov-2025 11:23:37,1763310217.12165,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,10,ASSR_BINAURAL,16-Nov-2025 11:23:40,1763310220.15601,30,40,7,ASSR binaural beat (L vs R modulation offset)
