block,trial,type,onsetDateTime,onsetPOSIX,duration_s,f_assr,beatFreq,note
ASSR_BASELINE,1,ASSR,13-Nov-2025 13:06:34,1763057194.63446,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,2,ASSR,13-Nov-2025 13:06:37,1763057197.65785,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,3,ASSR,13-Nov-2025 13:06:40,1763057200.6793,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,4,ASSR,13-Nov-2025 13:06:43,1763057203.70085,20,40,0,ASSR same modulation both ears
ASSR_BASELINE,5,ASSR,13-Nov-2025 13:06:46,1763057206.72026,20,40,0,ASSR same modulation both ears
BINAURAL_ASSR,1,ASSR_BINAURAL,13-Nov-2025 13:06:49,1763057209.74021,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,2,ASSR_BINAURAL,13-Nov-2025 13:06:52,1763057212.76862,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,3,ASSR_BINAURAL,13-Nov-2025 13:06:55,1763057215.79662,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,4,ASSR_BINAURAL,13-Nov-2025 13:06:58,1763057218.82681,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,5,ASSR_BINAURAL,13-Nov-2025 13:07:01,1763057221.8553,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,6,ASSR_BINAURAL,13-Nov-2025 13:07:04,1763057224.88275,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,7,ASSR_BINAURAL,13-Nov-2025 13:07:07,1763057227.91051,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,8,ASSR_BINAURAL,13-Nov-2025 13:07:10,1763057230.93815,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,9,ASSR_BINAURAL,13-Nov-2025 13:07:13,1763057233.96687,30,40,7,ASSR binaural beat (L vs R modulation offset)
BINAURAL_ASSR,10,ASSR_BINAURAL,13-Nov-2025 13:07:16,1763057236.99679,30,40,7,ASSR binaural beat (L vs R modulation offset)
